00A5; 0079 0065 006E;	YEN SIGN => yen
00A6; 007C;		BROKEN BAR => |
00AB; 003C 003C;	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK => <<
00A9; 0028 0063 0029;	COPYRIGHT SIGN => (c)
00AE; 0028 0052 0029;	REGISTERED SIGN => (R)
00B1; 002B 002F 002D;	PLUS-MINUS SIGN => +/-
00B5; 0075;		MICRO SIGN => u
00B7; 002A;		MIDDLE DOT => *
00BB; 003E 003E;	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK => <<
00C4; 0041 0045;	LATIN CAPITAL LETTER A WITH DIAERESIS => AE (German)
00C5; 0041 0041;	LATIN CAPITAL LETTER A WITH RING ABOVE => AA (Danish)
00C6; 0041 0045;	LATIN CAPITAL LETTER AE => AE (Danish)
00D6; 004F 0045;	LATIN CAPITAL LETTER O WITH DIAERESIS => OE (German)
00D7; 002A;		MULTIPLICATION SIGN => *
00D8; 004F 0045;	LATIN CAPITAL LETTER O WITH STROKE => OE (Danish)
00DC; 0055 0045;	LATIN CAPITAL LETTER U WITH DIAERESIS => UE (German)
00E4; 0061 0065;	LATIN SMALL LETTER A WITH DIAERESIS => ae (German)
00E5; 0061 0061;	LATIN SMALL LETTER A WITH RING ABOVE => aa (Danish)
00DF; 0073 0073;	LATIN SMALL LETTER SHARP S => ss (German)
00E6; 0061 0065;	LATIN SMALL LETTER AE => ae (Danish)
00F6; 006F 0065;	LATIN SMALL LETTER O WITH DIAERESIS => oe (German)
00F7; 002F;		DIVISION SIGN => /
00F8; 006F 0065;	LATIN SMALL LETTER O WITH STROKE => oe (Danish)
00FC; 0075 0065;	LATIN SMALL LETTER U WITH DIAERESIS => ue (German)
0131; 0069;		LATIN SMALL LETTER DOTLESS I => i
0152; 004F 0045;	LATIN CAPITAL LETTER OE => OE
0153; 006F 0065;	LATIN SMALL LETTER OE => oe
0192; 0066;		LATIN SMALL LETTER F WITH HOOK => f
02BC; 0027;		MODIFIER LETTER APOSTROPHE => '
02CA; 0027;		MODIFIER LETTER ACUTE ACCENT => '
2010; 002D;		HYPHEN => -
2013; 002D;		EN DASH => -
2014; 002D;		EM DASH => -
2018; 0060;		LEFT SINGLE QUOTATION MARK => `
2019; 0027;		RIGHT SINGLE QUOTATION MARK >= '
201C; 0022;		LEFT DOUBLE QUOTATION MARK => "
201D; 0022;		RIGHT DOUBLE QUOTATION MARK => "
201E; 0022;		DOUBLE LOW-9 QUOTATION MARK => "
2022; 002A;		BULLET => *
2039; 003C;		SINGLE LEFT-POINTING ANGLE QUOTATION MARK => <
